product_id,product_name,category,ingredients,price,cost,seasonal,active,introduced_date
1.0,Tarte Tropézienne,Tarte,"Brioche dough, pastry cream, orange blossom water, pearl sugar",$6.50 ,$3 ,False,True,2018-03-25 00:00:00
2.0,tarte bourdaloue,Tarte,"Sweet pastry crust, almond cream, poached pears, almond flakes",$7.00 ,$2 ,True,Yes,2015-10-01 00:00:00
3.0,tarte flambée,,"Thin dough, crème fraîche, onions, bacon lardons",$8.50 ,$2 ,True,True,
4.0,Tarte Normande,Tarte,"Sweet pastry crust, apples, Calvados custard, almonds",$6.50 ,,False,True,2033-12-23 00:00:00
5.0,Tarte au Citron Vert et Basilic,Tarte,"Tart shell, lime curd, fresh basil, meringue kisses",$7.50 ,$2 ,No,True,
6.0,pain de campagne,,"Rustic sourdough, whole wheat flour, rye flour, sea salt",$360.0,$1.50 ,True,True,2017-01-24 00:00:00
,FOUGASSE AUX OLIVES,Bread,"Provençal flatbread, Kalamata olives, herbs de Provence, olive oil",$4.50 ,$1.20 ,False,FALSE,2018-03-06 00:00:00
8.0,Brioche Feuilletée,Tarte,"Laminated brioche dough, butter, sugar",$3.00 ,$0.80 ,True,FALSE,2024-12-30 00:00:00
9.0,Pain aux Noix et Figues,Bread,Whole wheat flour; walnuts; dried figs; honey,$5.50 ,$2 ,True,True,2018-06-28 00:00:00
10.0,Pain au Chocolat Pistache,Bread,"Croissant dough, dark chocolate, pistachio paste",$3.50 ,$1 ,1,True,
11.0,Paris-Brest Revisité,Pastry,"Choux pastry ring, praline-hazelnut cream, raspberry coulis",$5.50 ,$2 ,True,True,2030-10-27 00:00:00
12.0,Éclair Caramel Salé,,Choux pastry; salted caramel filling; chocolate glaze; fleur de sel,$4.50 ,-$1.5,,TRUE,7-4-2051
,Religieuse Exotique,Pastry,"Choux buns, passion fruit curd, coconut cream, mango glaze",$6.00 ,$2.50 ,False,True,2016-10-30 00:00:00
14.0,Mille-Feuille Framboise,Pastry,Puff pastry; raspberry cream; fresh raspberries; powdered sugar,$6.50 ,$2.80 ,False,True,2028-03-20 00:00:00
15.0,cannelé bordelais,Pastry,"Rum and vanilla custard, caramelized crust",$127.5,$0.75 ,True,True,2026-10-11 00:00:00
,Croissant Amande,Viennoiserie,"Egg Whites, Cream, Flour, frangipane filling, sliced almonds",$3.80 ,$1.20 ,False,0,30-2-1946
17.0,pain aux raisins,Viennoiserie,"Sweet bread dough, raisins, pastry cream",$3.20 ,$0.90 ,True,True,
18.0,Chausson aux Pommes,Viennoiserie,Puff pastry; apple compote; cinnamon; sugar,-$3.5,$1 ,True,1,2028-05-27 00:00:00
19.0,kouign-amann,Viennoiserie,"Laminated dough, butter, sugar (caramelized)",$4.00 ,$1.30 ,True,No,
20.0,Pain Suisse,Viennoiserie,Brioche dough; pastry cream; chocolate chips,$3.50 ,$1 ,True,True,2024-08-17 00:00:00
21.0,macaron pistache,Tarte,"Almond Flour, Raisins, Seeds",3.51,1.43,False,True,2030-08-19 00:00:00
22.0,Financiers Pistache,Pastry,,$2.00 ,$0.60 ,FALSE,True,
23.0,madeleines citron,N/A,Lemon-infused madeleine cakes,$1.50 ,$0.40 ,1,1,6-8-2041
24.0,Croissant,,Egg Whites  Cream  Lemons  Flour,,4.71,,TRUE,2016-08-08 00:00:00
25.0,pain au chocolat,Tarte,Grains  Raisins  Cream  Seeds  Salt  Egg Whites,4.32,0.51,True,0,
26.0,madeleines citron (New),N/A,Lemon-infused madeleine cakes,$1.50 ,$0.40 ,1,1,6-8-2041
27.0,,,,,,,,
28.0,,,,,,,,
29.0,,,,,,,,
30.0,,,,,,,,
31.0,,,,,,,,
32.0,,,,,,,,
33.0,,,,,,,,
34.0,,,,,,,,
35.0,,,,,,,,
36.0,,,,,,,,
